course_name,domain,subdomain,mentor,duration,price,rating,level,skills,description,course_url
Introduction to Artificial Intelligence (AI),Artificial Intelligence,,Rav Ahuja Enroll for,,Paid,,Beginner,,"Introduction to Artificial Intelligence (AI) | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Introduction to Artificial Intelligence (AI)
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Introduction to Artificial Intelligence (AI)
This course is part of multiple programs.
Learn more
This course is part of multiple programs
IBM & Darden Digital Strategy Specialization
I",https://www.coursera.org/learn/introduction-to-ai
Introduction to AI,Artificial Intelligence,,Google Career Certificates Enroll,,Paid,,Beginner,,"Introduction to AI | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Introduction to AI
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Introduction to AI
This course is part of
Google AI Essentials Specialization
Instructor:
Google Career Certificates
Enroll for free
Starts Apr 14
575,150
already enrolled
Included with
Coursera Plus
â¢
Learn more
4 modules
Gain insight",https://www.coursera.org/learn/google-introduction-to-ai
AI For Everyone,Artificial Intelligence,,Andrew Ng,,Paid,,Beginner,,"AI For Everyone | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
AI For Everyone
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Business Strategy
AI For Everyone
Instructor:
Andrew Ng
Top Instructor
Enroll for free
Starts Apr 14
2,470,470
already enrolled
4 modules
Gain insight into a topic and learn the fundamentals.
4.8
52,162 reviews
Beginner level
No prior experience required
Flexible schedule
",https://www.coursera.org/learn/ai-for-everyone
Fundamentals of Machine Learning and Artificial Intelligence,Artificial Intelligence,,AWS Instructor Enroll for,,Paid,,Advanced,,"Fundamentals of Machine Learning and Artificial Intelligence | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Fundamentals of Machine Learning and Artificial Intelligence
About
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Fundamentals of Machine Learning and Artificial Intelligence
Instructor:
AWS Instructor
Enroll for free
Starts Apr 14
143,405
already enrolled
1 module
Gain insig",https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence
Financial Markets Course,Artificial Intelligence,,Robert Shiller Enroll for,,Paid,,Beginner,,"Financial Markets | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Financial Markets
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Financial Markets
Instructor:
Robert Shiller
Enroll for free
Starts Apr 14
2,381,561
already enrolled
Included with
Coursera Plus
â¢
Learn more
7 modules
Gain insight into a topic and learn the fundamentals.
4.8
32,137 reviews
Beginner level
No prior experienc",https://www.coursera.org/learn/financial-markets-global
Prompt Engineering for ChatGPT Course,Artificial Intelligence,,Dr. Jules White,,Paid,,Beginner,,"Prompt Engineering for ChatGPT | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Prompt Engineering for ChatGPT
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Prompt Engineering for ChatGPT
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Agentic AI and AI Agents for Leaders Specialization
Generative AI Cybersecurity & Privac",https://www.coursera.org/learn/prompt-engineering
"Python for Data Science, AI & Development",Data Science,,Joseph Santarcangelo Enroll for,,Paid,,Beginner,,"Python for Data Science, AI & Development | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Python for Data Science, AI & Development
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Data Analysis
Python for Data Science, AI & Development
This course is part of multiple programs.
Learn more
This course is part of multiple programs
IBM Relational Database Administrator with GenAI Professio",https://www.coursera.org/learn/python-for-applied-data-science-ai
What is Data Science?,Data Science,,IBM Learn more Offered,,Paid,,Beginner,,"What is Data Science?  | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
What is Data Science?
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Data Analysis
What is Data Science?
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Introduction to Data Science Specialization
Data Science Foundations Specialization
IBM AI Foundations for Business S",https://www.coursera.org/learn/what-is-datascience
Databases and SQL for Data Science with Python,Data Science,,IBM Learn more Offered,,Paid,,Beginner,,"Databases and SQL for Data Science with Python | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Databases and SQL for Data Science with Python
About
Outcomes
Modules
Testimonials
Reviews
Browse
Data Science
Data Analysis
Databases and SQL for Data Science with Python
This course is part of multiple programs.
Learn more
This course is part of multiple programs
IBM Relational Database Administrator with GenAI Profession",https://www.coursera.org/learn/sql-data-science
Foundations of Data Science,Data Science,,Google Career Certificates Enroll,,Paid,,Beginner,,"Foundations of Data Science | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Foundations of Data Science
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Data Analysis
Foundations of Data Science
This course is part of
Google Advanced Data Analytics Professional Certificate
Instructor:
Google Career Certificates
Enroll for free
Starts Apr 14
318,033
already enrolled
Included with
Courser",https://www.coursera.org/learn/foundations-of-data-science
